SAR Strategy,# of Searcher UAVs,# of Survivors,# of Survivors rescued,Min.Time needed to rescue Survivors,Mean. Time needed to rescue Survivors,Max. Time needed to rescue Survivors,# of Survivors found,Min. Time needed to find Survivors,Mean Time needed to find Survivors,Max. Time needed to find Survivors,Running Time of Simulation,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,64,9,18774,1008920,2059117,9,18674,1008819,2059017,47520,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,64,18,42628,821592,1835781,18,42528,821492,1835681,54150,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,64,15,7533,652421,1571965,15,7433,652321,1571865,51630,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,64,13,146072,832366,2037928,13,145972,832266,2037828,52310,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,64,17,1887,739474,1714895,17,1787,739187,1714795,50100,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,64,13,73211,1033733,2301712,13,73111,1033633,2301611,51680,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,64,13,2180,895154,1924581,13,2080,895053,1924481,52780,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,64,13,32876,732245,1779811,13,32776,732145,1779711,50790,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,64,8,28863,417756,1060273,8,28763,417656,1060171,51770,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,64,8,33003,755891,1329165,8,32903,755791,1329065,53390,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,256,53,15311,840537,2352078,53,15211,840440,2352050,83090,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,256,51,23931,1024884,2462257,51,23831,1024721,2462157,82660,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,256,64,9069,948198,2423001,64,8969,948098,2422901,77160,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,256,47,69342,848400,2105490,47,69242,848300,2105389,75160,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,256,57,31270,796691,2462930,57,31170,796546,2462830,76700,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,256,57,31602,888837,2016308,57,31502,888738,2016208,76430,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,256,61,2826,835820,2499542,61,2726,835720,2499441,72960,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,256,56,14967,879248,2125237,56,14867,879148,2125137,73510,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,256,42,19132,986629,2279626,42,19032,986528,2279526,74420,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,256,56,6149,1048074,2554012,56,6049,1047976,2553912,74230,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,512,96,19961,862347,2320509,96,19861,862247,2320409,240390,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,512,104,6443,905789,2503962,104,6343,905657,2503861,190580,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,512,110,58137,1028539,2489538,110,58037,1028440,2489437,165190,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,512,97,1463,801381,2381901,97,1363,801281,2381801,158480,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,512,103,1695,964528,2457268,103,1595,964428,2457167,160270,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,512, maxsum,8,512,106,5899,878220,2455906,106,5798,878089,2455806,185930,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,512,94,22038,969388,2406206,94,21938,969288,2406106,147640,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,512,101,3032,958244,2472542,101,2932,958144,2472442,277310,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,512,108,8184,855648,2561295,108,8084,855483,2561194,232160,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,1024,202,9824,905647,2447373,202,9723,905530,2447273,1033120,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,1024,212,6628,912273,2471249,212,6528,912156,2471149,865100,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,1024,222,5393,846429,2471154,222,5293,846255,2471053,1363940,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,1024,206,7216,921931,2488094,206,7116,921832,2487994,753390,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,1024,199,3637,819548,2479354,199,3537,819411,2479253,930860,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,1024,198,3755,940246,2454218,198,3655,940147,2454118,711960,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,1024,204,15124,958272,2542285,204,15024,958124,2542185,1020790,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,1024,219,7250,835016,2541529,219,7150,834902,2541429,908380,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,1024,220,320,911540,2473365,220,220,911403,2473265,1331540,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,1024,208,657,862495,2516033,208,557,862365,2515933,1694430,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,2048,400,7367,891051,2551533,400,7267,890949,2551433,5312770,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,2048,400,1699,932001,2444591,400,1599,931876,2444491,6366040,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,2048,420,2163,861268,2450730,420,2063,861134,2450630,7326530,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,2048,396,7158,911147,2473542,396,7058,911033,2473441,6545850,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,2048,391,520,902805,2501836,391,420,902700,2501736,5272910,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,2048,393,139,888528,2491791,393,38,888413,2491691,6618340,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,2048,380,4202,897578,2492490,380,4102,897470,2492389,4680220,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,2048,396,2816,922687,2505307,396,2715,922571,2505206,5863930,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,2048,381,6409,891334,2552017,381,6309,891207,2551917,6019160,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,2048,410,716,910616,2490439,410,616,910509,2490339,5825760,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,4096,778,267,863690,2462544,778,167,863545,2462444,6.518011E7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,4096,786,2239,880455,2487718,786,2138,880330,2487618,3.629832E7,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,= 16,= 2,1,287982,287982,287982,1,287882,287882,287882,117060.0

 maxsum,= 16,= 2,1,521211,521211,521211,1,521111,521111,521111,94700.0

 maxsum,= 16,= 2,1,370298,370298,370298,1,370198,370198,370198,106390.0

 maxsum,= 16,= 2,0,0,0,0,0,0,0,0,141480.0

 maxsum,= 16,= 2,0,0,0,0,0,0,0,0,66580.0

 maxsum,= 16,= 2,1,1951904,1951904,1951904,1,1951804,1951804,1951804,122460.0

 maxsum,= 16,= 2,0,0,0,0,0,0,0,0,85980.0

 maxsum,= 16,= 2,0,0,0,0,0,0,0,0,83330.0

 maxsum,= 16,= 2,0,0,0,0,0,0,0,0,153620.0

 maxsum,= 16,= 2,0,0,0,0,0,0,0,0,141710.0

 maxsum,= 16,= 4,2,181948,245727,309507,2,181848,245627,309406,53190.0

 maxsum,= 16,= 4,3,233721,477706,724059,3,233621,477606,723959,51630.0

 maxsum,= 16,= 4,3,581642,1000110,1293865,3,581542,1000010,1293765,90690.0

 maxsum,= 16,= 4,0,0,0,0,0,0,0,0,79040.0

 maxsum,= 16,= 4,2,440196,509736,579277,2,440096,509636,579177,177490.0

 maxsum,= 16,= 4,3,195626,614131,1426535,3,195526,614031,1426435,103480.0

 maxsum,= 16,= 4,1,1394181,1394181,1394181,1,1394081,1394081,1394081,89150.0

 maxsum,= 16,= 4,2,8255,634355,1260455,2,8155,634255,1260355,91900.0

 maxsum,= 16,= 4,1,160956,160956,160956,1,160856,160856,160856,94990.0

 maxsum,= 16,= 4,1,322671,322671,322671,1,322571,322571,322571,89960.0

 maxsum,= 16,= 8,3,197464,850813,2142448,3,197363,850712,2142348,162100.0

 maxsum,= 16,= 8,4,140734,871369,1429723,4,140633,871268,1429622,150910.0

 maxsum,= 16,= 8,5,610121,1154184,1768540,5,610021,1154084,1768440,178490.0

 maxsum,= 16,= 8,4,6096,854547,1376591,4,5996,854446,1376490,144060.0

 maxsum,= 16,= 8,4,142722,945472,2058957,4,142622,945371,2058856,166840.0

 maxsum,= 16,= 8,4,186959,667696,1324746,4,186859,667596,1324646,175980.0

 maxsum,= 16,= 8,4,164804,689728,1847124,4,164703,689627,1847023,128010.0

 maxsum,= 16,= 8,4,69817,308933,768349,4,69716,308833,768249,118490.0

 maxsum,= 16,= 8,3,199361,622796,855040,3,199261,622695,854939,173730.0

 maxsum,= 16,= 8,3,111470,625314,1174634,3,111369,625214,1174533,92700.0

 maxsum,= 16,= 16,9,236320,787172,1675438,9,236220,787072,1675338,126880.0

 maxsum,= 16,= 16,8,86831,421503,1267671,8,86731,421415,1267571,170860.0

 maxsum,= 16,= 16,9,233564,821317,1688022,9,233464,821217,1687922,168540.0

 maxsum,= 16,= 16,7,167903,589939,1826319,7,167803,589839,1826219,165650.0

 maxsum,= 16,= 16,6,323547,573066,1112792,6,323447,572966,1112692,153310.0

 maxsum,= 16,= 16,10,155866,922388,2421773,10,155765,922288,2421673,179130.0

 maxsum,= 16,= 16,7,96990,976120,1481744,7,96889,976020,1481644,110640.0

 maxsum,= 16,= 16,12,29958,976367,2437025,12,29858,976015,2437016,186850.0

 maxsum,= 16,= 16,5,105776,557429,881082,5,105675,557329,880982,151520.0

 maxsum,= 16,= 16,6,373197,1195212,2196116,6,373097,1195112,2196016,158250.0

 maxsum,= 16,= 64,21,127203,971106,2017022,21,127103,971006,2016922,175800.0

 maxsum,= 16,= 64,24,7394,798844,1874257,24,7294,798744,1874157,186680.0

 maxsum,= 16,= 64,36,165,935469,2179446,36,65,935369,2179346,194230.0

 maxsum,= 16,= 64,28,31403,903029,2412574,28,31303,902928,2412474,191030.0

 maxsum,= 16,= 64,30,89725,812875,2256089,30,89624,812775,2255989,170980.0

 maxsum,= 16,= 64,31,42349,1006072,2300885,31,42249,1005972,2300785,191130.0

 maxsum,= 16,= 64,26,20618,862052,1796101,26,20518,861952,1796001,158720.0

 maxsum,= 16,= 64,31,23789,944164,2181122,31,23688,944064,2181022,171970.0

 maxsum,= 16,= 64,30,29069,877147,2447521,30,28968,877047,2447421,186150.0

 maxsum,= 16,= 64,35,29891,879601,2288410,35,29791,879501,2288310,172930.0

 maxsum,= 16,= 256,98,1639,868084,2495657,98,1539,867984,2495557,256950.0

 maxsum,= 16,= 256,108,15413,871079,2556826,108,15313,870951,2556726,299270.0

 maxsum,= 16,= 256,106,18106,783666,2555616,106,18005,783566,2555516,272290.0

 maxsum,= 16,= 256,94,9009,893586,2529480,94,8908,893487,2529380,254960.0

 maxsum,= 16,= 256,98,709,902597,2468626,98,609,902497,2468525,266480.0

 maxsum,= 16,= 256,104,61028,907602,2517380,104,60928,907503,2517280,268660.0

 maxsum,= 16,= 256,120,17881,808558,2416550,120,17781,808405,2416450,360980.0

 maxsum,= 16,= 256,109,16361,879510,2526561,109,16261,879409,2526461,267020.0

 maxsum,= 16,= 256,94,8237,944431,2462814,94,8137,944323,2462714,264560.0

 maxsum,= 16,= 256,109,10495,871380,2443982,109,10395,871280,2443882,272890.0

